Bert,Williams,m
Kevin,Spacey,m
Phillipe,Simon,m
Jack,Shearer,m
David,Powledge,m
Pete,Postlethwaite,m
Kevin,Pollak,m
Chazz,Palminteri,m
Suzy,Amis,f
Stephen,Baldwin,m
Gabriel,Byrne,m
Benicio,Del,Toro,m
Giancarlo,Esposito,m
Dan,Hedaya,m
Paul,Bartel,m
Carl,Bressler,m
Christine,Estabrook,f
Clark,Gregg,m
Morgan,Hunter,m
Ken,Daly,m
Michelle,Clunie,f
Louis,Lombardi,m
Frank,Medrano,m
Ron,Gilbert,m
Vito,D'Ambrosio,m
Gene,Lythgow,m
Robert,Elmore,m
Bob,Pennetta,m
Billy,Bates,m
Smadar,Hanson,m
Castulo,Guerra,m
Peter,Rocca,m
Jaime,Campos,f
John,Gillespie,m
Peter,Greene,m
Michael,McKay,m
Christopher,McQuarrie,m
Scott,Morgan,m
Michael,Robert,Nyman,m
Grace,Sinden,f
